"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 25 20:58:26 GET 2025","Sun May 25 20:58:26 GET 2025","178","tests","test_basic_functions","TestBasicFunctions","","","Тест на успешное появление всплывающего окна с деталями по клику на ингредиент",""
"passed","Sun May 25 20:59:25 GET 2025","Sun May 25 20:59:26 GET 2025","1234","tests","test_basic_functions","TestBasicFunctions","","","Тест на успешное оформление заказа залогиненным пользователем",""
"passed","Sun May 25 20:57:12 GET 2025","Sun May 25 20:57:48 GET 2025","35345","tests","test_basic_functions","TestBasicFunctions","","","Тест на успешный переход на страницу Конструктора по кнопке «Конструктор»",""
"passed","Sun May 25 21:02:26 GET 2025","Sun May 25 21:02:33 GET 2025","7412","tests","test_orders_line","TestOrdersLine","","","Тест на проверку того, что при создании нового заказа счётчик Выполнено за всё время увеличивается",""
"passed","Sun May 25 21:07:09 GET 2025","Sun May 25 21:07:10 GET 2025","1008","tests","test_private_acc","TestPrivateAcc","","","Тест на успешный переход на страницу Истории заказов",""
"passed","Sun May 25 20:59:07 GET 2025","Sun May 25 20:59:07 GET 2025","230","tests","test_basic_functions","TestBasicFunctions","","","Тест на увеличение счетчика при добавлении ингредиента в заказ",""
"passed","Sun May 25 21:07:29 GET 2025","Sun May 25 21:07:32 GET 2025","2143","tests","test_private_acc","TestPrivateAcc","","","Тест на успешный выход из аккаунта",""
"passed","Sun May 25 21:05:58 GET 2025","Sun May 25 21:06:00 GET 2025","1575","tests","test_password","TestPassword","","","Тест на успешный ввод почты и клик по кнопке «Восстановить»",""
"passed","Sun May 25 20:57:59 GET 2025","Sun May 25 20:57:59 GET 2025","516","tests","test_basic_functions","TestBasicFunctions","","","Тест на успешный переход на страницу Конструктора по кнопке «Конструктор»",""
"passed","Sun May 25 21:00:26 GET 2025","Sun May 25 21:00:31 GET 2025","5191","tests","test_orders_line","TestOrdersLine","","","Тест на успешное появление всплывающего окна с деталями по клику на заказ",""
"passed","Sun May 25 21:01:35 GET 2025","Sun May 25 21:01:46 GET 2025","11119","tests","test_orders_line","TestOrdersLine","","","Тест на проверку того, что заказы пользователя из раздела «История заказов» успешно отображаются на странице «Лента заказов»",""
"passed","Sun May 25 21:00:42 GET 2025","Sun May 25 21:00:44 GET 2025","1514","tests","test_orders_line","TestOrdersLine","","","Тест на успешное появление всплывающего окна с деталями по клику на заказ",""
"passed","Sun May 25 21:05:07 GET 2025","Sun May 25 21:05:07 GET 2025","178","tests","test_password","TestPassword","","","Тест на успешный переход на страницу восстановления пароля по кнопке «Восстановить пароль»",""
"passed","Sun May 25 21:06:04 GET 2025","Sun May 25 21:06:09 GET 2025","4761","tests","test_password","TestPassword","","","Тест на подсвечивание поля Пароль при клике по кнопке показать/скрыть пароль",""
"passed","Sun May 25 21:05:21 GET 2025","Sun May 25 21:05:21 GET 2025","504","tests","test_password","TestPassword","","","Тест на успешный переход на страницу восстановления пароля по кнопке «Восстановить пароль»",""
"passed","Sun May 25 20:59:37 GET 2025","Sun May 25 20:59:38 GET 2025","1080","tests","test_basic_functions","TestBasicFunctions","","","Тест на успешное оформление заказа залогиненным пользователем",""
"passed","Sun May 25 21:01:11 GET 2025","Sun May 25 21:01:22 GET 2025","10557","tests","test_orders_line","TestOrdersLine","","","Тест на проверку того, что заказы пользователя из раздела «История заказов» успешно отображаются на странице «Лента заказов»",""
"failed","Sun May 25 21:04:50 GET 2025","Sun May 25 21:04:58 GET 2025","7200","tests","test_orders_line","TestOrdersLine","","","Тест на проверку того, что после оформления заказа его номер появляется в разделе В работе",""
"passed","Sun May 25 21:07:42 GET 2025","Sun May 25 21:07:44 GET 2025","1784","tests","test_private_acc","TestPrivateAcc","","","Тест на успешный выход из аккаунта",""
"passed","Sun May 25 20:58:41 GET 2025","Sun May 25 20:58:42 GET 2025","518","tests","test_basic_functions","TestBasicFunctions","","","Тест на успешное появление всплывающего окна с деталями по клику на ингредиент",""
"passed","Sun May 25 21:06:52 GET 2025","Sun May 25 21:06:52 GET 2025","106","tests","test_private_acc","TestPrivateAcc","","","Тест на успешный переход на страницу Личного кабинета по кнопке «Личный кабинет»",""
"passed","Sun May 25 20:58:18 GET 2025","Sun May 25 20:58:18 GET 2025","263","tests","test_basic_functions","TestBasicFunctions","","","Тест на успешный переход на страницу ленты заказов по кнопке «Лента заказов»",""
"passed","Sun May 25 21:00:01 GET 2025","Sun May 25 21:00:01 GET 2025","95","tests","test_basic_functions","TestBasicFunctions","","","Кнопка оформления заказа недоступна для неавторизованного пользователя",""
"passed","Sun May 25 20:59:17 GET 2025","Sun May 25 20:59:18 GET 2025","333","tests","test_basic_functions","TestBasicFunctions","","","Тест на увеличение счетчика при добавлении ингредиента в заказ",""
"passed","Sun May 25 21:00:21 GET 2025","Sun May 25 21:00:21 GET 2025","270","tests","test_basic_functions","TestBasicFunctions","","","Кнопка оформления заказа недоступна для неавторизованного пользователя",""
"passed","Sun May 25 21:06:22 GET 2025","Sun May 25 21:06:25 GET 2025","2310","tests","test_password","TestPassword","","","Тест на подсвечивание поля Пароль при клике по кнопке показать/скрыть пароль",""
"passed","Sun May 25 21:07:21 GET 2025","Sun May 25 21:07:22 GET 2025","824","tests","test_private_acc","TestPrivateAcc","","","Тест на успешный переход на страницу Истории заказов",""
"broken","Sun May 25 21:02:43 GET 2025","Sun May 25 21:02:59 GET 2025","16099","tests","test_orders_line","TestOrdersLine","","","Тест на проверку того, что при создании нового заказа счётчик Выполнено за сегодня увеличивается",""
"failed","Sun May 25 21:03:57 GET 2025","Sun May 25 21:04:04 GET 2025","6860","tests","test_orders_line","TestOrdersLine","","","Тест на проверку того, что после оформления заказа его номер появляется в разделе В работе",""
"passed","Sun May 25 20:58:46 GET 2025","Sun May 25 20:58:49 GET 2025","2662","tests","test_basic_functions","TestBasicFunctions","","","Тест на успешное закрывание всплывающего окна с деталями по клику на крестик",""
"passed","Sun May 25 21:01:58 GET 2025","Sun May 25 21:02:10 GET 2025","11972","tests","test_orders_line","TestOrdersLine","","","Тест на проверку того, что при создании нового заказа счётчик Выполнено за всё время увеличивается",""
"passed","Sun May 25 21:03:17 GET 2025","Sun May 25 21:03:24 GET 2025","6928","tests","test_orders_line","TestOrdersLine","","","Тест на проверку того, что при создании нового заказа счётчик Выполнено за сегодня увеличивается",""
"passed","Sun May 25 21:05:42 GET 2025","Sun May 25 21:05:44 GET 2025","1416","tests","test_password","TestPassword","","","Тест на успешный ввод почты и клик по кнопке «Восстановить»",""
"passed","Sun May 25 21:07:02 GET 2025","Sun May 25 21:07:03 GET 2025","282","tests","test_private_acc","TestPrivateAcc","","","Тест на успешный переход на страницу Личного кабинета по кнопке «Личный кабинет»",""
"passed","Sun May 25 20:58:59 GET 2025","Sun May 25 20:59:00 GET 2025","764","tests","test_basic_functions","TestBasicFunctions","","","Тест на успешное закрывание всплывающего окна с деталями по клику на крестик",""
"passed","Sun May 25 20:58:06 GET 2025","Sun May 25 20:58:06 GET 2025","109","tests","test_basic_functions","TestBasicFunctions","","","Тест на успешный переход на страницу ленты заказов по кнопке «Лента заказов»",""
